===> epoch: 43, train_loss: 0.4602897795682469, val_loss_q: 1.3829872274629125, val_loss_k: 17.580508443865316, test_loss_q: 1.3655063442852715, test_loss_k: 14.612791668798646, test_mape_q: 8.459771827428225, test_mape_k: 29.46490437285006
===> epoch: 44, train_loss: 0.4595314898796266, val_loss_q: 1.382269025091269, val_loss_k: 17.578573506475202, test_loss_q: 1.3647706772330481, test_loss_k: 14.575186090700813, test_mape_q: 8.481872027079403, test_mape_k: 29.390226040161625
===> epoch: 45, train_loss: 0.4588005033468104, val_loss_q: 1.38236662068894, val_loss_k: 17.585650548182066, test_loss_q: 1.3649986116632378, test_loss_k: 14.586689823229369, test_mape_q: 8.492634657820327, test_mape_k: 29.39326531417523
===> epoch: 46, train_loss: 0.4581815402600556, val_loss_q: 1.3816254566442745, val_loss_k: 17.58577110715606, test_loss_q: 1.3636164836806375, test_loss_k: 14.505697417704901, test_mape_q: 8.494690197079857, test_mape_k: 29.247915175964184
===> epoch: 47, train_loss: 0.45746937519210845, val_loss_q: 1.3815151715266605, val_loss_k: 17.591425400071966, test_loss_q: 1.363407352963991, test_loss_k: 14.488330369670148, test_mape_q: 8.512776726568879, test_mape_k: 29.21740171950054
===> epoch: 48, train_loss: 0.4568193789471651, val_loss_q: 1.3802750084103859, val_loss_k: 17.589904051287746, test_loss_q: 1.3622149845656863, test_loss_k: 14.445664719798772, test_mape_q: 8.506351586070402, test_mape_k: 29.15789755910458
===> epoch: 49, train_loss: 0.45610442711042165, val_loss_q: 1.3800103879393772, val_loss_k: 17.594073803007397, test_loss_q: 1.3620650673525663, test_loss_k: 14.443684146209218, test_mape_q: 8.51983360684775, test_mape_k: 29.153134109666105
===> epoch: 50, train_loss: 0.4555841342301926, val_loss_q: 1.3789242307076002, val_loss_k: 17.589717942553634, test_loss_q: 1.3608871067890673, test_loss_k: 14.389930417758439, test_mape_q: 8.527779696598694, test_mape_k: 29.07612758946973
===> epoch: 51, train_loss: 0.45488060987566775, val_loss_q: 1.3781668236462437, val_loss_k: 17.594516114339363, test_loss_q: 1.3601827007958174, test_loss_k: 14.385130801744873, test_mape_q: 8.509033339218186, test_mape_k: 29.068458975209317
===> epoch: 52, train_loss: 0.4543833688807425, val_loss_q: 1.3773084705663403, val_loss_k: 17.5906863210416, test_loss_q: 1.3593003316528782, test_loss_k: 14.336181107758522, test_mape_q: 8.524746273313417, test_mape_k: 29.011838305692734
===> epoch: 53, train_loss: 0.45365341839826795, val_loss_q: 1.376154798951418, val_loss_k: 17.593864854400255, test_loss_q: 1.3585576359380265, test_loss_k: 14.332317301040511, test_mape_q: 8.522153000351471, test_mape_k: 29.008200077603362
===> epoch: 54, train_loss: 0.4531053474759386, val_loss_q: 1.3756763483504213, val_loss_k: 17.59040485677756, test_loss_q: 1.3577901581994694, test_loss_k: 14.285854991313714, test_mape_q: 8.53903986902555, test_mape_k: 28.96590126849299
===> epoch: 55, train_loss: 0.45243475171682945, val_loss_q: 1.374628423554179, val_loss_k: 17.59290607540106, test_loss_q: 1.3569992169626095, test_loss_k: 14.273532555976015, test_mape_q: 8.552312971092716, test_mape_k: 28.939480470816985
===> epoch: 56, train_loss: 0.4519145039654808, val_loss_q: 1.373613083631432, val_loss_k: 17.587936737615397, test_loss_q: 1.3559966897710771, test_loss_k: 14.227156121323583, test_mape_q: 8.563547430023883, test_mape_k: 28.901281416324437
===> epoch: 57, train_loss: 0.4512016461952633, val_loss_q: 1.373154485885278, val_loss_k: 17.59157787582335, test_loss_q: 1.3558409191553014, test_loss_k: 14.221813370298957, test_mape_q: 8.597560597280497, test_mape_k: 28.894592522368967
===> epoch: 58, train_loss: 0.4506208390574203, val_loss_q: 1.3721875729361805, val_loss_k: 17.58202988223639, test_loss_q: 1.3549876735333068, test_loss_k: 14.181168229914768, test_mape_q: 8.599306955006956, test_mape_k: 28.875338184987818
===> epoch: 59, train_loss: 0.44992745556249486, val_loss_q: 1.371573720114963, val_loss_k: 17.58163242701294, test_loss_q: 1.3544941460293196, test_loss_k: 14.159631183022654, test_mape_q: 8.62729767794548, test_mape_k: 28.84005611757276
===> epoch: 60, train_loss: 0.44930962797165885, val_loss_q: 1.3709376532677902, val_loss_k: 17.577405198897786, test_loss_q: 1.3537702778754943, test_loss_k: 14.127176960716094, test_mape_q: 8.633828089242035, test_mape_k: 28.79611167971089
===> epoch: 61, train_loss: 0.44857611793959107, val_loss_q: 1.3703552815898636, val_loss_k: 17.574214472763362, test_loss_q: 1.3532592754820656, test_loss_k: 14.101320005789237, test_mape_q: 8.642704539042077, test_mape_k: 28.769629309131357
===> epoch: 62, train_loss: 0.44788342785361385, val_loss_q: 1.3688262978353631, val_loss_k: 17.56636519938417, test_loss_q: 1.3521001757087334, test_loss_k: 14.060292521403008, test_mape_q: 8.641587777008, test_mape_k: 28.7347160009751
===> epoch: 63, train_loss: 0.44708574791086436, val_loss_q: 1.3683146397338701, val_loss_k: 17.558476470476123, test_loss_q: 1.3516823058010923, test_loss_k: 14.047717961447576, test_mape_q: 8.651162273479269, test_mape_k: 28.714941143857697
===> epoch: 64, train_loss: 0.44641118647932676, val_loss_q: 1.3672945387752589, val_loss_k: 17.55148691613787, test_loss_q: 1.350830837162282, test_loss_k: 14.00325277446658, test_mape_q: 8.658024056114636, test_mape_k: 28.648112557604914
===> epoch: 65, train_loss: 0.44556035000171945, val_loss_q: 1.366724741464375, val_loss_k: 17.54130504857472, test_loss_q: 1.350343928938113, test_loss_k: 13.987109221116766, test_mape_q: 8.669319191873562, test_mape_k: 28.621021621597407
===> epoch: 66, train_loss: 0.4447980177267078, val_loss_q: 1.36565819432419, val_loss_k: 17.522583888248786, test_loss_q: 1.349506887895507, test_loss_k: 13.942759293841164, test_mape_q: 8.660494570510902, test_mape_k: 28.585857994604467
===> epoch: 67, train_loss: 0.44384658713208563, val_loss_q: 1.364952611028428, val_loss_k: 17.51204148165285, test_loss_q: 1.348831843720335, test_loss_k: 13.909641491524418, test_mape_q: 8.670582000295378, test_mape_k: 28.517501446556604
===> epoch: 68, train_loss: 0.44294144911636696, val_loss_q: 1.3639726766860936, val_loss_k: 17.490995323432273, test_loss_q: 1.3480241290892885, test_loss_k: 13.87823160782648, test_mape_q: 8.651831244243107, test_mape_k: 28.463886588017324
===> epoch: 69, train_loss: 0.4419942538733216, val_loss_q: 1.3636565733203267, val_loss_k: 17.481689008892744, test_loss_q: 1.3476423528040593, test_loss_k: 13.842866947496372, test_mape_q: 8.678005549051873, test_mape_k: 28.397914060759604
===> epoch: 70, train_loss: 0.441006517588585, val_loss_q: 1.3625034960805227, val_loss_k: 17.452834877747684, test_loss_q: 1.3466190062558598, test_loss_k: 13.801118640329761, test_mape_q: 8.640989004325036, test_mape_k: 28.342405562557254
===> epoch: 71, train_loss: 0.4399335285938357, val_loss_q: 1.3615402060406854, val_loss_k: 17.43756678209129, test_loss_q: 1.3455518892920901, test_loss_k: 13.752164113196619, test_mape_q: 8.629856322611621, test_mape_k: 28.247566887071173
===> epoch: 72, train_loss: 0.43879511023992973, val_loss_q: 1.3604942573799974, val_loss_k: 17.40526181395581, test_loss_q: 1.3446476622803585, test_loss_k: 13.707497254035605, test_mape_q: 8.598252786011559, test_mape_k: 28.199135103307217
===> epoch: 73, train_loss: 0.43751776593409003, val_loss_q: 1.360231192788705, val_loss_k: 17.384601630810764, test_loss_q: 1.343985983268232, test_loss_k: 13.67343034005461, test_mape_q: 8.59380746707435, test_mape_k: 28.115566349789447
===> epoch: 74, train_loss: 0.4364350582646218, val_loss_q: 1.3591728187981593, val_loss_k: 17.35378690625471, test_loss_q: 1.3428845587578768, test_loss_k: 13.625603730012212, test_mape_q: 8.561817725927671, test_mape_k: 28.053867600023814
===> epoch: 75, train_loss: 0.4351548162625754, val_loss_q: 1.3585023989452216, val_loss_k: 17.32274548013747, test_loss_q: 1.3420943239845868, test_loss_k: 13.570824492860948, test_mape_q: 8.545399937379837, test_mape_k: 27.96622400955176
