Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
2170,5,15,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0
2180,7,7,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0
2190,2,5,20,3,1,6,0,0,0,0,0,4,0,0,0,0,0
2200,0,1,25,16,2,1,0,0,0,0,0,9,2,2,0,0,0
2210,0,0,20,0,0,1,0,0,0,0,0,5,2,0,7,3,0
2220,0,0,8,0,0,0,0,0,0,0,0,0,3,0,2,0,3
2230,15,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,3
2240,21,8,3,4,4,0,0,0,0,0,0,0,0,0,2,2,1
2250,16,18,1,15,11,0,0,0,0,0,0,0,0,0,0,0,0
2260,6,21,0,17,17,8,0,0,0,0,0,0,0,0,0,0,0
2270,5,15,0,8,17,14,0,0,0,0,0,0,0,0,0,0,0
2280,5,4,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0
2290,3,4,15,0,1,13,0,0,0,0,0,4,0,0,0,0,0
2300,0,4,21,11,0,6,0,0,0,0,0,9,1,1,0,0,0
2310,0,0,25,2,1,0,0,0,0,0,0,9,1,1,4,3,0
2320,0,0,11,0,0,0,0,0,0,0,0,4,0,0,2,2,3
2330,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2340,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2350,10,23,1,15,14,0,0,0,0,0,0,0,0,0,0,0,1
2360,4,20,0,19,13,8,0,0,0,0,0,0,0,0,0,0,0
2370,6,7,0,8,18,15,0,0,0,0,0,0,0,0,0,0,0
2380,11,3,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0
2390,4,11,9,0,0,12,0,0,0,0,0,3,0,0,0,0,0
2400,0,4,18,7,0,6,0,0,0,0,0,7,1,1,0,0,0
2410,0,0,25,3,0,0,0,0,0,0,0,3,2,1,5,3,0
2420,0,0,22,0,0,0,0,0,0,0,0,1,2,0,1,4,2
2430,10,0,6,0,0,0,0,0,0,0,0,1,3,0,2,1,2
2440,21,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
2450,10,15,1,14,12,0,0,0,0,0,0,0,0,0,0,0,0
2460,6,16,0,20,9,3,0,0,0,0,0,0,0,0,0,0,0
2470,8,10,0,17,16,11,0,0,0,0,0,0,0,0,0,0,0
2480,3,5,0,5,16,9,0,0,0,0,0,0,0,0,0,0,0
2490,2,4,5,0,3,12,0,0,0,0,0,2,0,0,0,0,0
2500,0,1,16,3,0,8,0,0,0,0,0,8,0,0,0,0,0
2510,0,0,16,4,0,9,0,0,0,0,0,6,0,0,4,2,0
2520,0,0,13,0,0,0,0,0,0,0,0,3,4,0,3,5,2
2530,10,0,11,0,0,0,0,0,0,0,0,0,3,1,0,1,4
2540,20,5,8,0,0,0,0,0,0,0,0,0,2,0,1,1,0
2550,11,18,4,12,9,0,0,0,0,0,0,0,0,0,0,1,1
2560,9,20,1,19,11,4,0,0,0,0,0,0,0,0,0,0,0
2570,5,8,0,15,16,12,0,0,0,0,0,0,0,0,0,0,0
2580,5,6,0,9,15,10,0,0,0,0,0,0,0,0,0,0,0
2590,3,4,0,0,10,13,0,0,0,0,0,2,0,0,0,0,0
2600,0,2,11,0,5,13,0,0,0,0,0,6,0,0,0,0,0
2610,0,0,19,4,0,4,0,0,0,0,0,0,2,3,4,2,0
2620,0,0,10,0,0,1,0,0,0,0,0,2,2,0,5,4,2
2630,9,0,10,0,0,0,0,0,0,0,0,1,2,0,1,1,3
2640,18,5,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2650,11,13,6,10,8,0,0,0,0,0,0,0,0,0,0,0,1
2660,7,15,6,16,9,3,0,0,0,0,0,0,0,0,0,0,0
2670,5,15,0,18,12,8,0,0,0,0,0,0,0,0,0,0,0
2680,6,5,0,2,16,8,0,0,0,0,0,0,0,0,0,0,0
2690,4,7,0,0,6,14,0,0,0,0,0,2,0,0,0,0,0
2700,0,4,8,0,0,9,0,0,0,0,0,7,0,0,0,0,0
2710,0,0,8,1,0,0,0,0,0,0,0,8,4,0,3,1,0
2720,0,0,14,0,0,1,0,0,0,0,0,4,1,0,2,2,1
2730,5,0,11,0,0,0,0,0,0,0,0,1,2,1,1,0,3
2740,22,2,14,0,0,0,0,0,0,0,0,0,1,1,0,2,1
2750,12,15,11,8,5,0,0,0,0,0,0,0,0,0,0,1,0
2760,8,20,6,17,9,2,0,0,0,0,0,0,0,0,0,0,1
2770,7,14,1,18,13,5,0,0,0,0,0,0,0,0,0,0,0
2780,6,5,0,13,14,13,0,0,0,0,0,0,0,0,0,0,0
2790,4,5,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0
2800,0,5,5,1,1,13,0,0,0,0,0,8,0,0,0,0,0
2810,0,0,10,0,0,6,0,0,0,0,0,7,2,2,2,1,0
2820,0,0,9,0,0,0,0,0,0,0,0,3,1,0,8,4,1
2830,5,0,19,0,0,0,0,0,0,0,0,0,3,0,1,1,4
2840,19,0,16,0,0,0,0,0,0,0,0,0,3,1,1,0,0
2850,17,14,8,8,5,0,0,0,0,0,0,0,0,0,0,1,2
2860,3,21,4,18,7,3,0,0,0,0,0,0,0,0,0,0,0
2870,7,12,4,20,15,5,0,0,0,0,0,0,0,0,0,0,0
2880,8,8,0,10,18,9,0,0,0,0,0,0,0,0,0,0,0
