Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
1130,9,8,11,10,10,12,0,0,0,0,0,0,0,0,0,0,0
1140,11,12,13,9,6,7,0,0,0,0,0,0,0,0,0,0,0
1150,0,12,10,9,9,7,0,0,0,0,0,4,0,0,0,0,0
1160,0,7,7,7,6,7,0,0,0,0,0,6,1,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,2
1180,19,0,0,0,0,0,0,0,0,0,0,0,3,1,5,3,3
1190,11,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1200,4,13,12,6,13,4,0,0,0,0,0,0,0,0,0,0,0
1210,10,10,14,11,8,11,0,0,0,0,0,0,0,0,0,0,0
1220,6,7,13,9,10,10,0,0,0,0,0,0,0,0,0,0,0
1230,5,9,9,10,8,9,0,0,0,0,0,0,0,0,0,0,0
1240,1,6,8,4,10,11,0,0,0,0,0,4,0,0,0,0,0
1250,0,4,7,9,4,8,0,0,0,0,0,6,1,1,0,0,0
1260,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,2
1270,19,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4
1280,17,5,5,3,4,0,0,0,0,0,0,0,0,0,2,0,0
1290,7,13,6,5,10,4,0,0,0,0,0,0,0,0,0,0,0
1300,8,15,11,4,7,7,0,0,0,0,0,0,0,0,0,0,0
1310,6,11,15,7,7,11,0,0,0,0,0,0,0,0,0,0,0
1320,9,7,13,10,6,6,0,0,0,0,0,0,0,0,0,0,0
1330,0,6,6,12,7,5,0,0,0,0,0,4,0,0,0,0,0
1340,0,5,5,3,10,6,0,0,0,0,0,7,1,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0,0,5,3,1,6,3,1
1360,17,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1,0
1370,13,9,5,3,4,0,0,0,0,0,0,0,0,0,2,0,0
1380,13,10,13,5,6,4,0,0,0,0,0,0,0,0,0,0,0
1390,9,12,12,11,6,10,0,0,0,0,0,0,0,0,0,0,0
1400,3,11,13,7,10,8,0,0,0,0,0,0,0,0,0,0,0
1410,6,10,12,8,7,7,0,0,0,0,0,0,0,0,0,0,0
1420,2,4,11,11,6,5,0,0,0,0,0,4,0,0,0,0,0
1430,0,1,6,7,6,5,0,0,0,0,0,6,1,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,4,3,1,6,3,3
1450,20,0,0,0,0,0,0,0,0,0,0,0,3,0,7,2,1
1460,14,8,3,4,4,0,0,0,0,0,0,0,0,0,1,0,1
1470,14,13,8,6,10,4,0,0,0,0,0,0,0,0,0,0,0
1480,5,15,15,4,8,9,0,0,0,0,0,0,0,0,0,0,0
1490,6,12,12,10,7,10,0,0,0,0,0,0,0,0,0,0,0
1500,9,8,13,8,9,6,0,0,0,0,0,0,0,0,0,0,0
1510,2,8,12,10,8,7,0,0,0,0,0,4,0,0,0,0,0
1520,0,6,11,10,7,10,0,0,0,0,0,7,1,1,0,0,0
1530,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,3
1540,18,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,1
1550,13,7,5,4,4,0,0,0,0,0,0,0,0,0,1,0,1
1560,12,14,14,13,11,4,0,0,0,0,0,0,0,0,0,0,0
1570,5,12,13,11,10,11,0,0,0,0,0,0,0,0,0,0,0
1580,4,12,13,13,11,15,0,0,0,0,0,0,0,0,0,0,0
1590,7,5,13,13,15,11,0,0,0,0,0,0,0,0,0,0,0
1600,2,3,10,11,11,10,0,0,0,0,0,4,0,0,0,0,0
1610,0,6,3,9,11,9,0,0,0,0,0,6,1,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,3,2
1630,18,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0
1640,15,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1650,11,13,12,7,11,4,0,0,0,0,0,0,0,0,0,0,0
1660,13,13,8,10,8,11,0,0,0,0,0,0,0,0,0,0,0
1670,8,12,15,9,9,14,0,0,0,0,0,0,0,0,0,0,0
1680,5,13,11,13,8,8,0,0,0,0,0,0,0,0,0,0,0
1690,1,9,14,11,14,5,0,0,0,0,0,4,0,0,0,0,0
