Time,E1_s,E1_e,E2_s,E2_e,E3_s,E3_e,E4_s,E4_e,E5_s,E5_e,E6_s,E6_e,E7_s,E7_e,off_R1_s,off_R1_e,off_R2_s,off_R2_e,off_R3_s,off_R3_e,off_R4_s,off_R4_e,on_R1_s,on_R1_e,on_R2_s,on_R2_e,on_R3_s,on_R3_e,on_R4_s,on_R4_e,on_R5_s,on_R5_e,on_R6_s,on_R6_e
670000,0,0,0,11,11,10,7,8,8,12,11,10,9,10,5,1,3,0,0,4,1,0,1,5,0,0,0,0,1,0,0,0,0,0
680000,0,0,4,1,1,6,5,4,4,5,3,9,9,12,5,2,1,1,1,2,0,1,2,6,0,0,0,0,2,0,1,0,0,0
690000,3,0,1,1,2,1,1,0,4,0,0,6,4,7,1,5,0,2,1,1,2,0,3,1,1,0,1,1,0,4,1,1,1,0
700000,11,10,10,1,0,0,0,0,0,1,0,0,2,0,0,2,0,1,4,0,2,0,3,0,0,0,0,0,0,0,1,4,1,4
710000,14,13,13,6,6,1,1,1,2,0,0,0,0,0,0,2,0,0,4,2,2,0,2,0,0,0,0,0,0,1,0,4,1,2
720000,13,12,11,15,15,12,7,7,7,9,7,0,0,0,1,0,5,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
730000,14,13,14,15,14,15,13,6,6,8,7,5,5,2,0,0,2,3,1,1,0,0,0,1,0,0,1,0,2,0,4,0,0,0
740000,13,12,11,14,14,19,17,11,11,5,4,7,7,10,1,1,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
750000,11,13,11,14,14,17,14,16,16,10,8,7,7,8,2,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
760000,0,0,0,8,8,11,8,15,15,15,12,8,8,9,3,1,3,4,1,4,0,0,0,3,0,0,0,0,1,0,2,0,1,0
770000,0,0,3,1,1,5,3,6,7,11,9,7,7,8,5,2,2,3,2,0,0,0,2,7,0,0,0,0,1,1,2,0,0,0
780000,6,0,2,0,2,0,0,1,6,0,0,6,5,4,3,4,0,2,0,1,1,0,1,3,0,0,0,2,0,5,2,0,2,0
